lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
120,3,80.75,6,18,3,3,2,0,0,1
122,0,121.5,7,27,4,1,0,0,0,0
96,0,94.5,7,11,3,1,2,1,0,1
80,1,126.9,5,2,4,1,1,0,0,1
1,0,60.0,2,28,3,1,2,0,0,0
61,0,117.0,3,23,4,2,0,0,0,0
69,0,120.0,6,12,3,4,2,0,0,0
23,0,140.0,10,21,4,2,0,0,0,0
304,0,89.0,11,3,4,3,0,0,0,0
271,1,101.33,9,21,3,3,0,0,0,0
6,0,0.0,12,10,4,2,0,0,0,1
54,0,81.0,10,16,3,2,2,0,0,1
1,0,129.0,5,12,4,1,0,3,0,1
54,0,85.5,7,3,3,1,2,0,0,1
164,0,100.0,10,2,3,2,0,0,0,1
49,2,113.4,10,5,4,2,0,0,0,1
28,0,57.0,2,26,3,2,1,0,0,1
88,3,132.3,10,8,4,2,2,0,3,1
24,0,135.0,5,11,4,4,0,0,0,1
96,1,132.6,5,12,4,3,2,0,3,0
10,1,93.0,2,9,4,2,0,0,0,0
74,0,109.0,9,18,3,2,0,1,0,1
153,1,72.25,10,16,3,2,2,3,0,1
2,1,176.0,5,26,4,3,0,0,3,1
155,1,96.12,8,22,4,5,2,0,0,1
135,0,90.0,9,14,3,2,1,0,0,1
0,0,65.0,2,22,2,2,1,0,0,1
110,0,94.5,7,25,4,1,2,1,0,0
84,0,79.2,12,22,4,1,0,3,0,0
6,1,97.0,1,16,4,1,1,0,0,1
24,0,123.5,4,11,4,3,1,0,3,0
4,1,211.33,9,14,3,2,1,0,5,1
3,2,146.4,11,3,4,3,2,0,0,1
225,0,67.5,11,25,4,1,0,3,0,0
49,3,109.8,9,2,4,1,0,0,0,1
111,1,76.5,7,6,4,2,1,0,0,0
19,1,57.98,2,17,4,1,0,3,0,1
28,2,81.1,2,6,4,1,2,0,0,1
18,2,210.0,11,7,4,2,1,0,3,1
0,0,87.0,6,15,3,2,0,1,0,1
267,0,115.2,10,1,4,1,1,0,3,0
131,2,121.5,7,3,4,0,2,0,0,1
134,1,146.7,8,12,4,2,1,0,3,1
56,0,185.0,9,25,3,2,2,0,0,1
17,0,80.0,3,17,2,2,0,0,0,0
40,0,106.9,9,4,4,5,2,0,1,0
7,1,67.0,8,23,2,3,0,0,0,1
59,2,138.6,12,24,4,1,2,0,3,1
0,0,176.0,5,20,4,1,0,0,3,1
5,0,90.0,10,19,3,2,1,0,0,1
212,0,90.95,8,22,4,4,1,0,0,0
113,0,100.0,5,31,2,3,0,0,0,0
117,1,109.65,6,2,4,3,1,3,0,1
76,1,93.6,11,22,4,1,0,0,0,1
5,0,119.0,6,2,4,1,0,3,0,1
144,1,114.3,5,6,4,2,0,0,3,0
74,0,95.0,9,16,3,2,2,0,0,1
6,1,121.0,6,5,4,0,1,0,0,1
3,2,93.0,1,25,4,0,1,0,0,1
120,0,72.25,8,2,3,4,0,0,0,1
61,0,68.85,7,8,4,8,2,0,0,0
104,1,109.8,12,4,4,0,2,0,0,0
0,0,155.33,8,31,4,2,1,0,5,1
39,0,67.5,2,13,4,1,0,3,0,1
66,0,75.0,10,9,3,2,1,0,0,0
331,0,75.9,12,31,4,1,2,3,0,0
292,0,115.0,7,21,3,2,0,1,0,0
26,1,65.0,11,23,3,3,1,0,0,1
33,1,84.57,2,10,4,3,0,0,0,1
191,0,71.1,11,25,4,1,0,3,0,0
113,1,105.3,7,12,4,3,0,0,0,1
187,1,121.5,8,12,4,2,1,0,0,0
59,1,119.0,12,4,4,2,2,0,3,1
6,1,149.0,9,17,4,1,1,3,0,1
418,0,107.0,9,26,4,2,1,1,0,0
93,1,71.4,7,12,4,5,2,3,0,1
14,1,100.0,11,2,4,1,0,3,0,1
15,0,81.0,2,19,2,1,0,0,0,1
2,1,114.0,8,12,4,1,0,0,0,1
47,1,117.9,7,1,4,3,2,0,0,1
32,0,85.0,7,18,3,1,1,0,0,1
79,3,134.55,10,20,4,3,1,0,3,1
11,1,102.0,1,27,4,2,0,0,0,1
244,2,90.95,10,22,4,2,2,0,0,1
34,1,168.3,8,16,4,7,2,0,3,1
59,0,85.0,7,18,3,1,1,0,0,1
3,2,122.33,5,13,4,4,2,3,0,1
6,0,85.0,2,15,4,2,1,0,0,0
102,0,101.34,12,26,4,3,1,0,1,0
98,0,105.0,5,16,3,2,1,1,0,1
1,1,111.0,11,19,4,1,0,0,0,1
59,2,72.25,10,29,4,3,0,0,0,1
30,1,144.9,7,12,4,2,0,0,0,1
8,1,95.0,4,5,4,1,0,0,0,1
19,0,130.0,5,2,4,2,1,0,0,1
46,0,75.0,11,11,3,2,0,0,0,1
2,0,12.0,6,2,4,3,0,0,0,1
3,0,76.5,6,19,3,1,2,0,0,1
15,1,116.0,8,31,4,4,0,0,3,1
18,0,85.0,10,3,3,1,1,0,0,1
81,0,65.0,3,25,3,2,2,0,0,0
193,2,81.82,7,4,4,10,3,0,1,0
38,0,149.4,9,10,4,2,2,0,3,0
4,1,89.0,4,18,4,0,1,3,0,1
101,0,132.6,6,1,4,4,0,0,3,0
346,0,3.0,9,13,4,2,0,1,0,0
56,0,65.75,3,5,4,3,2,3,0,1
77,0,94.5,7,23,4,4,2,3,0,0
1,0,124.0,8,11,4,1,0,0,0,1
10,0,97.0,12,11,4,1,0,0,3,1
1,1,111.0,6,14,4,1,0,0,0,1
7,1,66.22,2,11,4,1,0,0,0,1
99,2,140.4,8,8,4,2,1,0,3,0
18,0,91.38,12,8,4,3,1,0,0,1
1,1,65.0,1,28,2,1,0,0,0,1
82,0,38.67,3,28,3,2,1,0,0,1
88,0,93.6,12,1,4,2,0,0,0,0
1,1,105.0,8,11,4,1,0,0,0,1
26,1,43.5,12,26,3,2,2,0,0,1
304,0,89.0,11,3,3,3,0,0,0,0
103,0,126.9,6,11,4,1,1,0,0,0
61,0,73.0,10,4,3,0,2,0,0,1
305,0,89.0,11,4,4,2,1,0,0,0
86,1,82.45,3,31,4,3,1,0,0,1
52,0,85.5,4,18,4,1,1,3,0,1
35,1,121.28,9,25,4,2,2,0,0,1
6,1,136.0,10,18,4,3,2,0,3,1
61,1,94.5,7,23,4,3,2,3,0,1
180,1,100.0,5,2,3,1,1,0,0,1
78,3,130.58,10,21,3,2,2,1,0,1
151,1,90.9,10,25,4,4,0,0,0,1
153,2,105.3,8,1,4,0,1,0,0,0
213,1,92.29,6,30,4,5,2,3,0,1
4,0,116.0,9,26,3,1,1,0,0,1
39,1,71.1,3,4,4,2,1,3,0,0
292,0,115.0,7,21,4,2,0,1,0,0
335,0,80.0,10,13,3,3,0,0,0,1
125,1,72.25,12,11,4,2,0,0,0,0
17,1,76.29,12,2,4,2,2,3,0,1
338,1,90.67,10,7,3,2,1,0,0,1
99,0,81.0,2,19,2,1,0,0,0,1
308,0,52.0,11,25,3,2,0,0,0,0
12,2,177.0,6,20,4,0,1,0,3,1
53,2,89.4,5,18,4,1,0,3,0,1
16,1,118.8,12,4,4,0,2,0,0,1
323,0,70.0,5,17,3,4,0,0,0,0
67,0,75.0,11,25,3,2,0,0,0,1
128,0,85.5,8,28,4,0,2,3,0,1
65,1,109.9,7,27,4,2,0,0,0,1
24,0,85.0,9,20,3,4,2,0,0,1
29,0,76.81,10,4,4,0,2,0,0,1
142,1,90.9,10,27,4,1,0,0,0,0
8,0,85.0,10,20,3,5,1,0,3,1
95,1,103.29,5,6,3,2,0,0,3,0
82,0,72.25,6,6,3,3,1,3,0,1
8,1,103.0,11,14,4,1,1,0,0,1
36,0,88.0,12,8,4,3,0,3,0,0
169,0,106.0,4,22,3,2,2,1,0,0
247,1,115.0,6,6,4,1,1,1,0,0
1,0,158.0,9,22,4,1,0,0,0,1
233,0,90.0,10,14,3,2,1,0,0,0
6,2,93.0,7,21,2,2,0,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
18,0,138.0,5,7,4,3,2,0,3,0
15,0,140.0,12,27,3,5,1,0,4,1
64,1,143.5,9,4,4,0,1,0,0,0
47,1,207.9,8,22,4,3,1,0,5,0
28,0,77.0,10,19,3,2,1,0,0,1
73,0,38.67,3,21,3,2,1,0,0,1
13,2,112.0,11,2,4,1,0,0,0,1
8,0,142.67,12,29,4,3,0,0,3,1
103,0,115.0,4,19,3,2,0,0,0,0
68,0,60.0,12,2,3,4,0,0,3,1
105,2,118.8,9,4,4,2,2,3,0,1
39,1,116.1,3,6,4,3,2,0,0,0
3,1,109.73,11,4,4,2,0,0,0,1
44,1,119.38,4,26,4,4,0,0,3,1
176,0,108.9,10,7,4,2,0,0,0,0
2,0,90.0,11,11,3,1,0,0,4,1
15,0,80.0,2,19,2,1,0,0,0,1
309,0,101.0,5,13,4,2,1,1,0,0
0,0,180.0,9,25,4,1,0,0,3,1
5,1,65.0,9,26,2,0,1,0,0,1
0,0,109.0,8,14,3,2,0,1,0,1
15,0,129.0,8,23,4,2,0,3,0,0
20,0,67.0,12,4,2,0,2,0,0,1
88,0,112.2,10,5,3,1,1,1,0,1
196,1,97.75,8,24,4,4,1,0,0,1
14,0,76.78,12,6,4,5,1,0,0,1
276,0,61.0,5,13,3,3,2,0,0,0
8,0,103.0,3,6,4,2,2,0,0,1
